,fold,NON,Hugin,SIIC,NOPar,NOO,NOS,NOC,HuginCost,SIICCost,complexity,difference
486,0,50,109,190,2,2,2,1,17020784,162366464,600,-81
487,2,50,6067,186,2,1,2,2,1318162352,949363776,600,5881
488,0,50,63,67,3,0,2,0,11855136,11855136,400,-4
489,1,50,24,22,3,0,2,0,2032892,2032892,400,2
490,2,50,78,83,3,0,2,0,12577520,11600624,400,-5
491,3,50,31,30,3,0,2,0,3868872,3868872,400,1
492,4,50,34,39,3,0,2,0,3446416,4954128,400,-5
493,0,50,1084,49,3,1,2,1,215493888,296937344,800,1035
494,0,50,453,145,3,2,2,1,63857776,560028560,1200,308
495,2,50,437,126,3,2,2,1,81345136,381893616,1200,311
496,2,50,1113,1175,5,0,2,0,161553856,161553856,1600,-62
497,3,50,2067,2107,5,0,2,0,247039808,247039808,1600,-40
498,0,50,40,40,2,0,3,0,5349672,5349672,900,0
499,1,50,110,112,2,0,3,0,24577614,24577614,900,-2
500,2,50,54,48,2,0,3,0,6365574,6006906,900,6
501,3,50,22,19,2,0,3,0,1806012,1806012,900,3
502,4,50,27,41,2,0,3,0,3005802,6911298,900,-14
503,0,50,151,146,2,0,4,0,32332944,32332944,2400,5
504,2,50,493,475,2,0,4,0,127674640,127674640,2400,18
505,3,50,248,225,2,0,4,0,44786688,44792832,2400,23
506,4,50,71,74,2,0,4,0,13561168,14519632,2400,-3
507,0,50,179,168,2,0,4,0,32332944,32332944,2400,11
508,1,50,7280,6578,2,0,4,0,1229919232,1292830720,2400,702
509,2,50,529,509,2,0,4,0,127674640,127674640,2400,20
510,3,50,611,427,2,0,4,0,44786688,44792832,2400,184
511,4,50,75,77,2,0,4,0,13561168,14519632,2400,-2
