,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_difference
,,,,,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,,,,,,
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,20,2,1,0.0,23.0,19.0,10288.0,27368.0,240.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,20,2,2,,,,,,,,1.0,28.0,61.0,277024.0,15824384.0,400.0,-33.0,,,,,,,,3.0,24.0,67.0,397568.0,289632.0,400.0,-43.0,,,,,,,,2.8284271247461903,4.242640687119285,85237.47983135119,10984728.483251281,0.0,7.0710678118654755
2,2,20,2,3,,,,,,,,1.0,23.0,113.0,314376.0,175452416.0,560.0,-90.0,,,,,,,,3.0,32.0,111.0,974984.0,1624233928.0,560.0,-79.0,,,,,,,,6.363961030678928,1.4142135623730951,467120.3965060828,1024443231.5928994,0.0,7.7781745930520225
2,2,20,3,1,,,,,,,,,,,,,,,2.0,31.0,76.0,28328.0,115504.0,320.0,-45.0,3.0,33.0,43.0,185720.0,17259288.0,320.0,-10.0,4.0,26.0,42.0,326424.0,444808.0,320.0,-16.0,3.605551275463989,19.347695814575268,149125.83193173923,9804289.10080916,0.0,18.717193521821944
2,2,20,3,2,0.0,52.0,142.0,4954048.0,-1844252368.0,560.0,-90.0,,,,,,,,,,,,,,,3.0,41.0,178.0,1199952.0,8573888.0,560.0,-137.0,,,,,,,,7.7781745930520225,25.45584412271571,2654546.7388252933,1310146009.978082,0.0,33.23401871576773
2,2,20,3,3,,,,,,,,,,,,,,,2.0,182.0,458.0,41531088.0,94178360.0,800.0,-276.0,,,,,,,,,,,,,,,,,,,,
2,2,50,0,0,0.0,89.0,32.0,21296.0,21296.0,200.0,57.0,1.0,14.0,23.0,40340.0,40340.0,200.0,-9.0,2.0,20.0,18.0,36344.0,36344.0,200.0,2.0,3.0,15.0,14.0,156120.0,108248.0,200.0,1.0,4.0,14.0,17.0,109100.0,109100.0,200.0,-3.0,32.85270156318959,7.049822692805827,57652.272184190624,42236.866417858226,0.0,26.847718711279736
2,2,50,1,1,0.0,714.0,60.0,160307400.0,87355896.0,400.0,654.0,1.0,43.0,70.0,5108816.0,24585360.0,400.0,-27.0,,,,,,,,,,,,,,,,,,,,,,474.4686501761734,7.0710678118654755,109741971.17695002,44385471.66431431,0.0,481.5397179880389
2,2,50,1,2,0.0,109.0,190.0,17020784.0,162366464.0,600.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,50,2,1,,,,,,,,,,,,,,,2.0,6067.0,186.0,1318162352.0,949363776.0,600.0,5881.0,,,,,,,,,,,,,,,,,,,,
2,3,5,0,0,0.0,8.0,2.0,32.0,32.0,40.0,6.0,1.0,9.0,2.0,32.0,32.0,40.0,7.0,2.0,7.0,2.0,20.0,20.0,40.0,5.0,3.0,7.0,3.0,32.0,32.0,40.0,4.0,4.0,10.0,2.0,24.0,24.0,40.0,8.0,1.3038404810405297,0.4472135954999579,5.656854249492381,5.656854249492381,0.0,1.5811388300841898
2,3,5,1,1,0.0,14.0,7.0,112.0,288.0,80.0,7.0,1.0,14.0,5.0,112.0,104.0,80.0,9.0,2.0,13.0,7.0,152.0,200.0,80.0,6.0,3.0,15.0,8.0,176.0,272.0,80.0,7.0,4.0,13.0,8.0,120.0,144.0,80.0,5.0,0.8366600265340756,1.224744871391589,28.50964748992874,79.47829892492668,0.0,1.4832396974191326
