,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Average,Average,Average,Average,Average,Average,STD,STD,STD,STD,STD,STD
,,,,,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,5,1,3,14,8,1134,4482,1080,6,14,6,2430,9558,1080,8,12,8,1566,5454,1080,4,13,6,1620,2268,1080,7,14,9,1242,1728,1080,5,13.4,7.4,1598.4,4698,1080,6,0.894427191,1.341640786,508.8622603,3121.041172,0,1.58113883
3,3,5,2,1,22,12,1458,4698,810,10,19,12,540,1296,810,7,18,10,1404,2700,810,8,19,14,972,28350,810,5,23,14,2268,3402,810,9,20.2,12.4,1328.4,8089.2,810,7.8,2.167948339,1.673320053,643.0309479,11392.55394,0,1.923538406
3,3,5,2,2,21,8,3942,891324,1350,13,17,12,2106,9018,1350,5,20,8,14148,295326,1350,12,18,12,2646,53514,1350,6,18,11,7776,257094,1350,7,18.8,10.2,6123.6,301255.2,1350,8.6,1.643167673,2.049390153,5002.889445,352471.573,0,3.646916506
3,3,5,2,3,18,16,5508,35964,1890,2,20,13,6642,123714,1890,7,20,11,12150,11164716,1890,9,18,14,11340,12759930,1890,4,18,12,5022,140886,1890,6,18.8,13.2,8132.4,4845042,1890,5.6,1.095445115,1.923538406,3362.036704,6521713.434,0,2.701851217
3,3,5,3,1,22,11,1890,9072,1080,11,24,11,1674,14580,1080,13,23,10,2214,100116,1080,13,23,17,2646,80406,1080,6,24,11,2754,7074,1080,13,23.2,12,2235.6,42249.6,1080,11.2,0.836660027,2.828427125,467.0297635,44463.78822,0,3.033150178
3,3,5,3,2,25,14,10584,1125900,1890,11,22,10,7830,100563498,1890,12,21,16,12150,3898692,1890,5,26,13,6264,82620,1890,13,24,14,4698,83538,1890,10,23.6,13.4,8305.2,21150849.6,1890,10.2,2.073644135,2.19089023,3056.943768,44420451.91,0,3.1144823
3,3,5,3,3,25,32,349758,-1262278632,2700,-7,22,16,140940,317273760,2700,6,22,28,84564,-420575782,2700,-6,22,19,55242,455868,2700,3,22,21,65286,431002242,2700,1,22.6,23.2,139158,-186824508.8,2700,-0.6,1.341640786,6.610597552,122305.9768,685955561.1,0,5.683308895
3,3,20,0,0,21,5,33426,33426,1080,16,10,7,50544,50544,1080,3,9,5,40932,40932,1080,4,8,5,55674,55674,1080,3,11,5,34272,34272,1080,6,11.8,5.4,42969.6,42969.6,1080,6.4,5.263078947,0.894427191,9869.823646,9869.823646,0,5.504543578
3,3,20,1,1,24,13,726354,2924370,2160,11,19,14,727866,1213380,2160,5,,,,,,,21,12,1102248,16689726,2160,9,,,,,,,21.33333333,13,852156,6942492,2160,8.333333333,2.516611478,1,216587.3447,8484591.898,0,3.055050463
3,3,20,1,2,38,16,3307230,17544600,3240,22,,,,,,,,,,,,,24,15,1970568,75370662,3240,9,34,15,3350970,64114578,3240,19,32,15.33333333,2876256,52343280,3240,16.66666667,7.211102551,0.577350269,784653.6573,30657559.49,0,6.806859286
3,3,20,1,3,,,,,,,,,,,,,,,,,,,23,28,572670,1024812,4320,-5,26,21,1188756,3452058,4320,5,24.5,24.5,880713,2238435,4320,0,2.121320344,4.949747468,435638.5884,1716322.106,0,7.071067812
3,3,20,2,1,,,,,,,35,15,2339604,8147790,3240,20,47,29,4636278,9837612,3240,18,33,20,2897046,17261748,3240,13,,,,,,,38.33333333,21.33333333,3290976,11749050,3240,17,7.571877794,7.094598885,1197941.359,4848324.868,0,3.605551275
3,3,20,2,2,,,,,,,163,36,32804352,107622594,5400,127,62,56,7156998,52665714,5400,6,332,42,69077448,-874002964,5400,290,,,,,,,185.6666667,44.66666667,36346266,-237904885.3,5400,141,136.4196955,10.26320288,31111804.8,551561999.2,0,142.5166657
3,3,20,2,3,,,,,,,,,,,,,105,118,21476988,83748168,7560,-13,,,,,,,317,68,69672960,2266534114,7560,249,211,93,45574974,1175141141,7560,118,149.9066376,35.35533906,34079698.63,1543462744,0,185.2619767
3,3,20,3,1,,,,,,,90,28,6978312,63513234,4320,62,88,37,12673098,333498708,4320,51,,,,,,,,,,,,,89,32.5,9825705,198505971,4320,56.5,1.414213562,6.363961031,4026821.798,190908559.5,0,7.778174593
3,3,20,3,2,,,,,,,309,88,71728254,591598724,7560,221,,,,,,,,,,,,,,,,,,,309,88,71728254,591598724,7560,221,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,5,5,0,0,9,2,90,90,2430,7,6,3,108,108,2430,3,6,2,90,90,2430,4,9,2,108,108,2430,7,8,2,54,54,2430,6,7.6,2.2,90,90,2430,5.4,1.516575089,0.447213595,22.04540769,22.04540769,0,1.816590212
3,5,5,1,1,13,8,972,7290,4860,5,16,9,360,954,4860,7,13,5,648,972,4860,8,13,6,972,1242,4860,7,13,6,378,378,4860,7,13.6,6.8,666,2167.2,4860,6.8,1.341640786,1.643167673,301.7349831,2881.001076,0,1.095445115
3,5,5,1,2,14,6,1296,2106,7290,8,12,8,1782,75168,7290,4,15,9,5832,79218,7290,6,12,5,1080,2106,7290,7,12,6,1944,2430,7290,6,13,6.8,2386.8,32205.6,7290,6.2,1.414213562,1.643167673,1957.602411,41092.85754,0,1.483239697
3,5,5,1,3,13,10,2106,20412,9720,3,14,8,4860,5184,9720,6,14,5,1458,4536,9720,9,12,11,4374,835434,9720,1,14,7,1296,1296,9720,7,13.4,8.2,2818.8,173372.4,9720,5.2,0.894427191,2.387467277,1678.088555,370177.593,0,3.193743885
3,5,5,2,1,18,9,972,1458,7290,9,19,11,1998,9018,7290,8,19,13,2052,8100,7290,6,18,12,702,7290,7290,6,18,10,1350,2376,7290,8,18.4,11,1414.8,5648.4,7290,7.4,0.547722558,1.58113883,603.0134327,3475.897409,0,1.341640786
3,5,5,2,2,17,10,4644,33804,12150,7,16,10,2376,20844,12150,6,17,12,4644,120690,12150,5,17,7,3294,6804,12150,10,19,10,2646,9666,12150,9,17.2,9.8,3520.8,38361.6,12150,7.4,1.095445115,1.788854382,1078.243572,47235.90544,0,2.073644135
3,5,5,2,3,18,12,18630,427032,17010,6,,,,,,,18,9,6156,160218,17010,9,18,12,2754,43902,17010,6,19,15,37422,1424628,17010,4,18.25,12,16240.5,513945,17010,6.25,0.5,2.449489743,15683.83961,627949.204,0,2.061552813
3,5,5,3,1,23,14,2160,6804,9720,9,22,10,1242,1998,9720,12,23,13,2754,11826,9720,10,24,11,3186,11178,9720,13,21,11,1512,3672,9720,10,22.6,11.8,2170.8,7095.6,9720,10.8,1.140175425,1.643167673,816.6328428,4382.757899,0,1.643167673
3,5,5,3,2,22,13,20304,2836998,17010,9,23,15,33210,159354,17010,8,25,14,6048,3604932,17010,11,26,15,7452,312660,17010,11,24,12,3726,143478,17010,12,24,13.8,14148,1411484.4,17010,10.2,1.58113883,1.303840481,12453.11889,1675290.067,0,1.643167673
3,5,5,3,3,27,16,37908,149202,24300,11,22,16,23004,927180,24300,6,34,18,24138,1291522536,24300,16,23,22,74844,157881906,24300,1,23,15,74196,3922884,24300,8,25.8,17.4,46818,290880741.6,24300,8.4,4.969909456,2.792848009,25960.97386,563452615.4,0,5.594640292
3,5,20,0,0,21,20,1713636,1713636,9720,1,14,15,992412,992412,9720,-1,23,20,2178252,2178252,9720,3,44,40,5929686,5929686,9720,4,28,27,3013686,3013686,9720,1,26,24.4,2765534.4,2765534.4,9720,1.6,11.24722188,9.710818709,1914992.72,1914992.72,0,1.949358869
3,5,20,1,1,60,38,6343758,30230172,19440,22,,,,,,,114,36,15478128,17064432,19440,78,92,38,13553082,58898340,19440,54,,,,,,,88.66666667,37.33333333,11791656,35397648,19440,51.33333333,27.15388247,1.154700538,4815199.372,21390326.57,0,28.09507667
3,5,20,1,2,92,30,10056798,12348774,29160,62,,,,,,,,,,,,,,,,,,,,,,,,,92,30,10056798,12348774,29160,62,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,2,5,0,0,8,1,96,96,240,7,8,2,208,208,240,6,8,2,112,112,240,6,8,2,256,256,240,6,9,2,208,208,240,7,8.2,1.8,176,176,240,6.4,0.447213595,0.447213595,68.81860214,68.81860214,0,0.547722558
4,2,5,1,1,14,6,2176,2432,480,8,12,7,2048,3328,480,5,13,8,896,16704,480,5,15,6,768,1664,480,9,13,7,1088,6464,480,6,13.4,6.8,1395.2,6118.4,480,6.6,1.140175425,0.836660027,665.7230655,6192.57465,0,1.816590212
4,2,5,1,2,13,8,10432,21056,720,5,12,8,1280,2432,720,4,14,6,3584,13568,720,8,12,5,2112,3776,720,7,13,9,1984,2688,720,4,12.8,7.2,3878.4,8704,720,5.6,0.836660027,1.643167673,3758.222559,8307.313404,0,1.816590212
4,2,5,1,3,12,5,2048,8128,960,7,13,11,15040,18877120,960,2,13,6,9408,1314112,960,7,13,9,27904,102400,960,4,13,6,5632,33024,960,7,12.8,7.4,12006.4,4066956.8,960,5.4,0.447213595,2.50998008,10105.57771,8297341.505,0,2.302172887
4,2,5,2,1,17,9,3968,17280,720,8,16,11,3520,6272,720,5,19,10,5248,16000,720,9,17,12,4032,24640,720,5,17,10,928,2144,720,7,17.2,10.4,3539.2,13267.2,720,6.8,1.095445115,1.140175425,1594.165362,9021.775612,0,1.788854382
4,2,5,2,2,17,9,11008,343808,1200,8,17,12,3392,9728,1200,5,20,12,16768,990848,1200,8,19,13,14208,5410560,1200,6,17,9,3904,9344,1200,8,18,11,9856,1352857.6,1200,7,1.414213562,1.870828693,6026.034185,2303432.587,0,1.414213562
4,2,5,2,3,18,16,25152,536882176,1680,2,20,15,63680,117971008,1680,5,17,14,30400,357952,1680,3,18,12,46976,10494016,1680,6,18,19,74880,23865152,1680,-1,18.2,15.2,48217.6,137914060.8,1680,3,1.095445115,2.588435821,21219.09359,227891414.3,0,2.738612788
4,2,5,3,1,22,12,6784,272512,960,10,23,12,4352,69376,960,11,24,17,31680,1060672,960,7,23,12,13696,73280,960,11,22,11,7232,462976,960,11,22.8,12.8,12748.8,387763.2,960,10,0.836660027,2.387467277,11133.3698,409882.9558,0,1.732050808
4,2,5,3,2,22,21,241408,100930944,1680,1,21,17,46720,109598848,1680,4,21,19,28544,537011392,1680,2,29,28,460032,-1409273472,1680,1,22,12,40192,469968896,1680,10,23,19.4,163379.2,-38352678.4,1680,3.6,3.391164992,5.856620186,187787.3556,792172336.1,0,3.78153408
4,2,5,3,3,35,37,206272,-2139086912,2400,-2,,,,,,,,,,,,,,,,,,,,,,,,,35,37,206272,-2139086912,2400,-2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,2,50,0,0,151,146,32332944,32332944,2400,5,,,,,,,493,475,127674640,127674640,2400,18,248,225,44786688,44792832,2400,23,71,74,13561168,14519632,2400,-3,240.75,230,54588860,54830012,2400,10.75,183.0780799,174.587132,50385881.36,50126937.59,0,11.8988795
