,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Average,Average,Average,Average,Average,Average,STD,STD,STD,STD,STD,STD
,,,,,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,50,1,2,109,190,17020784,162366464,600,-81,,,,,,,,,,,,,,,,,,,,,,,,,109,190,17020784,162366464,600,-81,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,2,50,2,1,,,,,,,,,,,,,6067,186,1318162352,949363776,600,5881,,,,,,,,,,,,,6067,186,1318162352,949363776,600,5881,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,3,5,0,0,8,2,32,32,40,6,9,2,32,32,40,7,7,2,20,20,40,5,7,3,32,32,40,4,10,2,24,24,40,8,8.2,2.2,28,28,40,6,1.303840481,0.447213595,5.656854249,5.656854249,0,1.58113883
2,3,5,1,1,14,7,112,288,80,7,14,5,112,104,80,9,13,7,152,200,80,6,15,8,176,272,80,7,13,8,120,144,80,5,13.8,7,134.4,201.6,80,6.8,0.836660027,1.224744871,28.50964749,79.47829892,0,1.483239697
2,3,5,1,2,14,8,140,164,120,6,13,9,208,272,120,4,14,10,400,400,120,4,15,8,144,184,120,7,13,9,232,320,120,4,13.8,8.8,224.8,268,120,5,0.836660027,0.836660027,105.7695608,97.48846086,0,1.414213562
2,3,5,1,3,14,8,528,976,160,6,14,12,552,1440,160,2,18,10,296,552,160,8,14,9,264,360,160,5,13,7,592,2112,160,6,14.6,9.2,446.4,1088,160,5.4,1.949358869,1.923538406,154.0285688,707.5139575,0,2.19089023
2,3,5,2,1,19,13,200,672,120,6,19,13,224,344,120,6,18,10,216,408,120,8,20,11,288,416,120,9,18,12,208,464,120,6,18.8,11.8,227.2,460.8,120,7,0.836660027,1.303840481,35.14541222,125.551583,0,1.414213562
2,3,5,2,2,19,15,656,5584,200,4,18,13,512,1024,200,5,18,12,720,1632,200,6,19,11,384,496,200,8,17,12,320,24832,200,5,18.2,12.6,518.4,6713.6,200,5.6,0.836660027,1.516575089,171.0578849,10324.79021,0,1.516575089
2,3,5,2,3,,,,,,,21,14,1600,6272,280,7,19,11,5168,203280,280,8,18,12,2640,167520,280,6,18,14,1312,8040,280,4,19,12.75,2680,96278,280,6.25,1.414213562,1.5,1754.0019,103942.0916,0,1.707825128
2,3,5,3,1,22,14,312,520,160,8,23,11,424,1168,160,12,24,14,488,1272,160,10,22,14,384,768,160,8,23,17,440,1360,160,6,22.8,14,409.6,1017.6,160,8.8,0.836660027,2.121320344,66.06663303,358.6374214,0,2.28035085
2,3,5,3,2,25,12,2192,110928,280,13,24,15,992,3280,280,9,,,,,,,24,16,1248,14592,280,8,25,17,880,9856,280,8,24.5,15,1328,34664,280,9.5,0.577350269,2.160246899,596.2370893,51053.81213,0,2.380476143
