,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,20,3,2,0.0,125.0,156.0,4954048.0,6745682224.0,931.0,560.0,-31.0,,,,,,,,,,,,,,,,,3.0,125.0,187.0,1199952.0,8573888.0,865.0,560.0,-62.0,,,,,,,,
2,2,20,3,3,,,,,,,,,,,,,,,,,2.0,250.0,500.0,41531088.0,347986529336.0,1350.0,800.0,-250.0,,,,,,,,,,,,,,,,
2,2,50,0,0,0.0,85.0,31.0,21296.0,21296.0,289.0,200.0,54.0,1.0,100.0,47.0,40340.0,40340.0,286.0,200.0,53.0,2.0,97.0,32.0,36344.0,36344.0,291.0,200.0,65.0,3.0,109.0,47.0,156120.0,108248.0,285.0,200.0,62.0,4.0,110.0,31.0,109100.0,109100.0,291.0,200.0,79.0
2,2,50,1,1,0.0,750.0,78.0,160307400.0,87355896.0,618.0,400.0,672.0,1.0,188.0,109.0,5108816.0,24585360.0,614.0,400.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,50,1,2,0.0,219.0,219.0,17020784.0,162366464.0,905.0,600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,50,2,1,,,,,,,,,,,,,,,,,2.0,4639.0,250.0,1318162352.0,949363776.0,934.0,600.0,4389.0,,,,,,,,,,,,,,,,
2,3,5,0,0,0.0,47.0,0.0,32.0,32.0,27.0,40.0,47.0,1.0,46.0,16.0,32.0,32.0,23.0,40.0,30.0,2.0,47.0,0.0,20.0,20.0,21.0,40.0,47.0,3.0,47.0,0.0,32.0,32.0,23.0,40.0,47.0,4.0,47.0,0.0,24.0,24.0,25.0,40.0,47.0
2,3,5,1,1,0.0,62.0,16.0,112.0,288.0,49.0,80.0,46.0,1.0,62.0,0.0,112.0,104.0,55.0,80.0,62.0,2.0,47.0,15.0,152.0,200.0,57.0,80.0,32.0,3.0,46.0,16.0,176.0,272.0,47.0,80.0,30.0,4.0,62.0,0.0,120.0,144.0,42.0,80.0,62.0
2,3,5,1,2,0.0,62.0,15.0,140.0,164.0,67.0,120.0,47.0,1.0,62.0,0.0,208.0,272.0,79.0,120.0,62.0,2.0,63.0,16.0,400.0,400.0,83.0,120.0,47.0,3.0,62.0,16.0,144.0,184.0,77.0,120.0,46.0,4.0,62.0,15.0,232.0,320.0,83.0,120.0,47.0
2,3,5,1,3,0.0,63.0,16.0,528.0,976.0,111.0,160.0,47.0,1.0,63.0,16.0,552.0,1440.0,99.0,160.0,47.0,2.0,63.0,16.0,296.0,552.0,105.0,160.0,47.0,3.0,47.0,0.0,264.0,360.0,109.0,160.0,47.0,4.0,62.0,15.0,592.0,2112.0,110.0,160.0,47.0
2,3,5,2,1,0.0,63.0,31.0,200.0,672.0,73.0,120.0,32.0,1.0,78.0,16.0,224.0,344.0,74.0,120.0,62.0,2.0,63.0,16.0,216.0,408.0,80.0,120.0,47.0,3.0,78.0,16.0,288.0,416.0,70.0,120.0,62.0,4.0,62.0,16.0,208.0,464.0,81.0,120.0,46.0
2,3,5,2,2,0.0,78.0,15.0,656.0,5584.0,136.0,200.0,63.0,1.0,63.0,16.0,512.0,1024.0,139.0,200.0,47.0,2.0,63.0,16.0,720.0,1632.0,118.0,200.0,47.0,3.0,62.0,16.0,384.0,496.0,132.0,200.0,46.0,4.0,62.0,15.0,320.0,24832.0,139.0,200.0,47.0
2,3,5,2,3,,,,,,,,,1.0,63.0,16.0,1600.0,6272.0,225.0,280.0,47.0,2.0,78.0,31.0,5168.0,203280.0,280.0,280.0,47.0,3.0,63.0,31.0,2640.0,167520.0,306.0,280.0,32.0,4.0,62.0,31.0,1312.0,8040.0,189.0,280.0,31.0
2,3,5,3,1,0.0,78.0,15.0,312.0,520.0,107.0,160.0,63.0,1.0,62.0,15.0,424.0,1168.0,104.0,160.0,47.0,2.0,62.0,16.0,488.0,1272.0,99.0,160.0,46.0,3.0,63.0,15.0,384.0,768.0,106.0,160.0,48.0,4.0,62.0,16.0,440.0,1360.0,101.0,160.0,46.0
2,3,5,3,2,0.0,78.0,16.0,2192.0,110928.0,244.0,280.0,62.0,1.0,78.0,16.0,992.0,3280.0,220.0,280.0,62.0,,,,,,,,,3.0,63.0,15.0,1248.0,14592.0,203.0,280.0,48.0,4.0,63.0,31.0,880.0,9856.0,199.0,280.0,32.0
2,3,5,3,3,0.0,78.0,31.0,2168.0,305632.0,390.0,400.0,47.0,1.0,62.0,15.0,3888.0,1278464.0,484.0,400.0,47.0,2.0,63.0,32.0,3208.0,156032.0,366.0,400.0,31.0,3.0,78.0,32.0,13552.0,459808.0,1229.0,400.0,46.0,4.0,63.0,32.0,2784.0,28552.0,442.0,400.0,31.0
2,3,20,0,0,0.0,62.0,15.0,4512.0,4512.0,171.0,160.0,47.0,1.0,62.0,0.0,3712.0,3712.0,167.0,160.0,62.0,2.0,63.0,16.0,2016.0,2016.0,148.0,160.0,47.0,3.0,63.0,16.0,4096.0,4096.0,165.0,160.0,47.0,4.0,63.0,16.0,5168.0,5168.0,166.0,160.0,47.0
2,3,20,1,1,0.0,63.0,31.0,11608.0,29752.0,316.0,320.0,32.0,1.0,78.0,31.0,18784.0,37824.0,327.0,320.0,47.0,2.0,78.0,31.0,15424.0,90528.0,343.0,320.0,47.0,3.0,78.0,31.0,9776.0,14128.0,313.0,320.0,47.0,,,,,,,,
2,3,20,1,2,0.0,63.0,31.0,15328.0,35696.0,469.0,480.0,32.0,1.0,78.0,47.0,123488.0,862976.0,560.0,480.0,31.0,2.0,78.0,46.0,74144.0,153664.0,487.0,480.0,32.0,3.0,78.0,47.0,40880.0,143664.0,513.0,480.0,31.0,,,,,,,,
2,3,20,1,3,,,,,,,,,,,,,,,,,2.0,79.0,47.0,90912.0,390224.0,745.0,640.0,32.0,,,,,,,,,,,,,,,,
2,3,20,2,1,0.0,109.0,32.0,53952.0,138144.0,481.0,480.0,77.0,,,,,,,,,2.0,94.0,31.0,50320.0,342480.0,523.0,480.0,63.0,,,,,,,,,4.0,93.0,31.0,74576.0,222576.0,505.0,480.0,62.0
2,3,20,2,2,,,,,,,,,,,,,,,,,,,,,,,,,3.0,109.0,62.0,496000.0,17324416.0,929.0,800.0,47.0,,,,,,,,
2,3,20,2,3,,,,,,,,,,,,,,,,,2.0,109.0,203.0,749632.0,47472768.0,1357.0,1120.0,-94.0,,,,,,,,,,,,,,,,
2,3,20,3,1,0.0,109.0,62.0,81704.0,851312.0,700.0,640.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,20,3,2,0.0,110.0,156.0,133920.0,1034752.0,1264.0,1120.0,-46.0,1.0,109.0,125.0,553120.0,40137504.0,1259.0,1120.0,-16.0,2.0,125.0,125.0,782240.0,5419985248.0,1256.0,1120.0,0.0,,,,,,,,,,,,,,,,
2,3,20,3,3,0.0,125.0,297.0,474112.0,119956192.0,1808.0,1600.0,-172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,50,0,0,0.0,144.0,79.0,11855136.0,11855136.0,469.0,400.0,65.0,1.0,125.0,47.0,2032892.0,2032892.0,433.0,400.0,78.0,2.0,140.0,109.0,12577520.0,11600624.0,454.0,400.0,31.0,3.0,125.0,63.0,3868872.0,3868872.0,450.0,400.0,62.0,4.0,109.0,47.0,3446416.0,4954128.0,456.0,400.0,62.0
