,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,20,0,0,0.0,63.0,0.0,3402.0,3402.0,194.0,360.0,63.0,1.0,62.0,16.0,12474.0,12474.0,212.0,360.0,46.0,2.0,62.0,0.0,5778.0,5778.0,208.0,360.0,62.0,3.0,63.0,16.0,7074.0,7074.0,214.0,360.0,47.0,4.0,63.0,16.0,4320.0,4320.0,202.0,360.0,47.0
3,2,20,1,1,0.0,78.0,16.0,1404108.0,6099030.0,476.0,720.0,62.0,1.0,78.0,31.0,29484.0,28674.0,424.0,720.0,47.0,2.0,78.0,31.0,95472.0,176634.0,482.0,720.0,47.0,3.0,79.0,31.0,69498.0,380970.0,418.0,720.0,48.0,,,,,,,,
3,2,20,1,2,,,,,,,,,,,,,,,,,2.0,94.0,31.0,4246614.0,179823024.0,842.0,1080.0,63.0,,,,,,,,,4.0,78.0,47.0,1298484.0,180300384.0,766.0,1080.0,31.0
3,2,20,1,3,,,,,,,,,1.0,1406.0,62.0,456463188.0,157465431756.0,1224.0,1440.0,1344.0,2.0,94.0,46.0,8540586.0,20920464.0,1002.0,1440.0,48.0,3.0,516.0,47.0,149648634.0,4835539620.0,1310.0,1440.0,469.0,,,,,,,,
3,2,20,2,1,0.0,78.0,31.0,259416.0,3826008.0,748.0,1080.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,20,2,2,0.0,968.0,94.0,275671998.0,941225184.0,1358.0,1800.0,874.0,,,,,,,,,,,,,,,,,3.0,125.0,110.0,5546340.0,533551158.0,1286.0,1800.0,15.0,,,,,,,,
3,2,20,2,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,391.0,141.0,87450030.0,119624861551410.0,2330.0,2520.0,250.0,,,,,,,,
3,2,20,3,1,0.0,141.0,63.0,2987658.0,23569596.0,1002.0,1440.0,78.0,1.0,125.0,78.0,1873638.0,291134682.0,1076.0,1440.0,47.0,,,,,,,,,,,,,,,,,4.0,141.0,63.0,6225444.0,66366324.0,992.0,1440.0,78.0
3,2,20,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8108.0,188.0,2393661024.0,472316754456.0,2302.0,2520.0,7920.0
3,2,50,0,0,0.0,156.0,63.0,5349672.0,5349672.0,568.0,900.0,93.0,1.0,203.0,125.0,24577614.0,24577614.0,562.0,900.0,78.0,2.0,140.0,78.0,6365574.0,6006906.0,568.0,900.0,62.0,3.0,141.0,47.0,1806012.0,1806012.0,560.0,900.0,94.0,4.0,110.0,62.0,3005802.0,6911298.0,562.0,900.0,48.0
3,3,5,0,0,0.0,47.0,0.0,108.0,108.0,50.0,270.0,47.0,1.0,47.0,0.0,90.0,90.0,52.0,270.0,47.0,2.0,47.0,0.0,108.0,108.0,56.0,270.0,47.0,3.0,47.0,0.0,108.0,108.0,46.0,270.0,47.0,4.0,47.0,0.0,108.0,108.0,40.0,270.0,47.0
3,3,5,1,1,0.0,63.0,0.0,648.0,1188.0,76.0,540.0,63.0,1.0,46.0,15.0,810.0,810.0,160.0,540.0,31.0,2.0,63.0,16.0,594.0,810.0,124.0,540.0,47.0,3.0,63.0,16.0,810.0,1458.0,166.0,540.0,47.0,4.0,62.0,15.0,324.0,594.0,92.0,540.0,47.0
3,3,5,1,2,0.0,63.0,16.0,1296.0,1620.0,136.0,810.0,47.0,1.0,47.0,0.0,1296.0,1458.0,202.0,810.0,47.0,2.0,63.0,16.0,2106.0,9396.0,170.0,810.0,47.0,3.0,63.0,16.0,1080.0,1350.0,238.0,810.0,47.0,4.0,62.0,16.0,1242.0,2538.0,212.0,810.0,46.0
3,3,5,1,3,0.0,63.0,16.0,1134.0,4482.0,278.0,1080.0,47.0,1.0,47.0,16.0,2430.0,9558.0,296.0,1080.0,31.0,2.0,46.0,16.0,1566.0,5454.0,202.0,1080.0,30.0,3.0,62.0,15.0,1620.0,2268.0,242.0,1080.0,47.0,4.0,62.0,0.0,1242.0,1728.0,188.0,1080.0,62.0
3,3,5,2,1,0.0,62.0,15.0,1458.0,4698.0,182.0,810.0,47.0,1.0,63.0,16.0,540.0,1296.0,110.0,810.0,47.0,2.0,62.0,0.0,1404.0,2700.0,208.0,810.0,62.0,3.0,63.0,16.0,972.0,28350.0,166.0,810.0,47.0,4.0,63.0,16.0,2268.0,3402.0,182.0,810.0,47.0
3,3,5,2,2,0.0,63.0,15.0,3942.0,891324.0,400.0,1350.0,48.0,1.0,62.0,16.0,2106.0,9018.0,274.0,1350.0,46.0,2.0,62.0,16.0,14148.0,295326.0,628.0,1350.0,46.0,3.0,62.0,15.0,2646.0,53514.0,274.0,1350.0,47.0,4.0,62.0,16.0,7776.0,257094.0,388.0,1350.0,46.0
3,3,5,2,3,0.0,63.0,31.0,5508.0,35964.0,602.0,1890.0,32.0,1.0,62.0,15.0,6642.0,123714.0,530.0,1890.0,47.0,2.0,62.0,31.0,12150.0,11164716.0,664.0,1890.0,31.0,3.0,63.0,47.0,11340.0,12759930.0,1468.0,1890.0,16.0,4.0,62.0,16.0,5022.0,140886.0,440.0,1890.0,46.0
3,3,5,3,1,0.0,63.0,16.0,1890.0,9072.0,242.0,1080.0,47.0,1.0,63.0,15.0,1674.0,14580.0,248.0,1080.0,48.0,2.0,63.0,16.0,2214.0,100116.0,298.0,1080.0,47.0,3.0,78.0,16.0,2646.0,80406.0,188.0,1080.0,62.0,4.0,63.0,15.0,2754.0,7074.0,256.0,1080.0,48.0
3,3,5,3,2,0.0,63.0,31.0,10584.0,1125900.0,604.0,1890.0,32.0,1.0,63.0,16.0,7830.0,100563498.0,988.0,1890.0,47.0,2.0,62.0,32.0,12150.0,3898692.0,688.0,1890.0,30.0,3.0,78.0,15.0,6264.0,82620.0,478.0,1890.0,63.0,4.0,78.0,16.0,4698.0,83538.0,484.0,1890.0,62.0
3,3,5,3,3,0.0,62.0,46.0,349758.0,11622623256.0,11348.0,2700.0,16.0,1.0,63.0,31.0,140940.0,317273760.0,4084.0,2700.0,32.0,2.0,63.0,31.0,84564.0,3874391514.0,7018.0,2700.0,32.0,3.0,78.0,31.0,55242.0,455868.0,4860.0,2700.0,47.0,4.0,78.0,31.0,65286.0,431002242.0,3916.0,2700.0,47.0
3,3,20,0,0,0.0,62.0,0.0,33426.0,33426.0,410.0,1080.0,62.0,1.0,63.0,15.0,50544.0,50544.0,424.0,1080.0,48.0,2.0,62.0,15.0,40932.0,40932.0,418.0,1080.0,47.0,3.0,62.0,15.0,55674.0,55674.0,408.0,1080.0,47.0,4.0,47.0,0.0,34272.0,34272.0,404.0,1080.0,47.0
3,3,20,1,1,0.0,78.0,32.0,726354.0,2924370.0,938.0,2160.0,46.0,1.0,78.0,31.0,727866.0,1213380.0,1006.0,2160.0,47.0,,,,,,,,,3.0,74.0,15.0,1102248.0,16689726.0,946.0,2160.0,59.0,,,,,,,,
3,3,20,1,2,0.0,94.0,47.0,3307230.0,17544600.0,1488.0,3240.0,47.0,,,,,,,,,,,,,,,,,3.0,78.0,31.0,1970568.0,75370662.0,1560.0,3240.0,47.0,4.0,78.0,47.0,3350970.0,64114578.0,1646.0,3240.0,31.0
3,3,20,1,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,78.0,78.0,572670.0,1024812.0,1742.0,4320.0,0.0,4.0,78.0,47.0,1188756.0,3452058.0,1952.0,4320.0,31.0
3,3,20,2,1,,,,,,,,,1.0,94.0,31.0,2339604.0,8147790.0,1454.0,3240.0,63.0,2.0,125.0,47.0,4636278.0,9837612.0,1358.0,3240.0,78.0,3.0,109.0,32.0,2897046.0,17261748.0,1636.0,3240.0,77.0,,,,,,,,
3,3,20,2,2,,,,,,,,,1.0,203.0,62.0,32804352.0,107622594.0,3010.0,5400.0,141.0,2.0,109.0,78.0,7156998.0,52665714.0,2584.0,5400.0,31.0,3.0,297.0,62.0,69077448.0,42075669996.0,3116.0,5400.0,235.0,,,,,,,,
3,3,20,2,3,,,,,,,,,,,,,,,,,2.0,172.0,141.0,21476988.0,83748168.0,3552.0,7560.0,31.0,,,,,,,,,4.0,328.0,141.0,69672960.0,139705487586.0,4510.0,7560.0,187.0
3,3,20,3,1,,,,,,,,,1.0,125.0,63.0,6978312.0,63513234.0,2074.0,4320.0,62.0,2.0,141.0,63.0,12673098.0,333498708.0,2046.0,4320.0,78.0,,,,,,,,,,,,,,,,
3,3,20,3,2,,,,,,,,,1.0,328.0,156.0,71728254.0,43541271684.0,4610.0,7560.0,172.0,,,,,,,,,,,,,,,,,4.0,1063.0,125.0,309490632.0,471193259130.0,4280.0,7560.0,938.0
3,3,20,3,3,0.0,1219.0,344.0,352969650.0,10648781939214.0,5522.0,10800.0,875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,5,0,0,0.0,47.0,15.0,90.0,90.0,34.0,2430.0,32.0,1.0,47.0,0.0,108.0,108.0,40.0,2430.0,47.0,2.0,47.0,16.0,90.0,90.0,58.0,2430.0,31.0,3.0,47.0,0.0,108.0,108.0,58.0,2430.0,47.0,4.0,63.0,15.0,54.0,54.0,40.0,2430.0,48.0
3,5,5,1,1,0.0,47.0,0.0,972.0,7290.0,244.0,4860.0,47.0,1.0,62.0,16.0,360.0,954.0,70.0,4860.0,46.0,2.0,62.0,16.0,648.0,972.0,118.0,4860.0,46.0,3.0,47.0,0.0,972.0,1242.0,166.0,4860.0,47.0,4.0,47.0,15.0,378.0,378.0,94.0,4860.0,32.0
3,5,5,1,2,0.0,63.0,16.0,1296.0,2106.0,232.0,7290.0,47.0,1.0,63.0,15.0,1782.0,75168.0,256.0,7290.0,48.0,2.0,62.0,15.0,5832.0,79218.0,346.0,7290.0,47.0,3.0,63.0,15.0,1080.0,2106.0,154.0,7290.0,48.0,4.0,62.0,16.0,1944.0,2430.0,322.0,7290.0,46.0
3,5,5,1,3,0.0,62.0,15.0,2106.0,20412.0,296.0,9720.0,47.0,1.0,63.0,31.0,4860.0,5184.0,362.0,9720.0,32.0,2.0,62.0,16.0,1458.0,4536.0,478.0,9720.0,46.0,3.0,62.0,15.0,4374.0,835434.0,1160.0,9720.0,47.0,4.0,47.0,15.0,1296.0,1296.0,216.0,9720.0,32.0
3,5,5,2,1,0.0,63.0,0.0,972.0,1458.0,248.0,7290.0,63.0,1.0,62.0,16.0,1998.0,9018.0,236.0,7290.0,46.0,2.0,63.0,16.0,2052.0,8100.0,242.0,7290.0,47.0,3.0,62.0,16.0,702.0,7290.0,136.0,7290.0,46.0,4.0,62.0,15.0,1350.0,2376.0,142.0,7290.0,47.0
3,5,5,2,2,0.0,62.0,16.0,4644.0,33804.0,558.0,12150.0,46.0,1.0,78.0,15.0,2376.0,20844.0,454.0,12150.0,63.0,2.0,63.0,15.0,4644.0,120690.0,454.0,12150.0,48.0,3.0,62.0,16.0,3294.0,6804.0,520.0,12150.0,46.0,4.0,62.0,15.0,2646.0,9666.0,454.0,12150.0,47.0
3,5,5,2,3,0.0,62.0,32.0,18630.0,427032.0,1070.0,17010.0,30.0,,,,,,,,,2.0,63.0,15.0,6156.0,160218.0,610.0,17010.0,48.0,3.0,62.0,16.0,2754.0,43902.0,332.0,17010.0,46.0,4.0,62.0,16.0,37422.0,1424628.0,2800.0,17010.0,46.0
3,5,5,3,1,0.0,63.0,15.0,2160.0,6804.0,334.0,9720.0,48.0,1.0,78.0,16.0,1242.0,1998.0,266.0,9720.0,62.0,2.0,63.0,15.0,2754.0,11826.0,250.0,9720.0,48.0,3.0,78.0,16.0,3186.0,11178.0,404.0,9720.0,62.0,4.0,78.0,16.0,1512.0,3672.0,206.0,9720.0,62.0
3,5,5,3,2,0.0,63.0,31.0,20304.0,2836998.0,1070.0,17010.0,32.0,1.0,78.0,32.0,33210.0,159354.0,1266.0,17010.0,46.0,2.0,62.0,31.0,6048.0,3604932.0,838.0,17010.0,31.0,3.0,63.0,32.0,7452.0,312660.0,1178.0,17010.0,31.0,4.0,63.0,31.0,3726.0,143478.0,460.0,17010.0,32.0
3,5,5,3,3,0.0,78.0,31.0,37908.0,149202.0,3790.0,24300.0,47.0,1.0,78.0,31.0,23004.0,927180.0,2410.0,24300.0,47.0,2.0,63.0,31.0,24138.0,1291522536.0,1204.0,24300.0,32.0,3.0,63.0,32.0,74844.0,157881906.0,5606.0,24300.0,31.0,4.0,78.0,32.0,74196.0,3922884.0,2690.0,24300.0,46.0
3,5,20,0,0,0.0,63.0,15.0,1713636.0,1713636.0,2126.0,9720.0,48.0,1.0,63.0,16.0,992412.0,992412.0,1892.0,9720.0,47.0,2.0,62.0,15.0,2178252.0,2178252.0,2056.0,9720.0,47.0,3.0,78.0,47.0,5929686.0,5929686.0,2558.0,9720.0,31.0,4.0,78.0,32.0,3013686.0,3013686.0,2252.0,9720.0,46.0
3,5,20,1,1,0.0,94.0,47.0,6343758.0,30230172.0,5378.0,19440.0,47.0,,,,,,,,,2.0,156.0,47.0,15478128.0,17064432.0,4448.0,19440.0,109.0,3.0,141.0,47.0,13553082.0,58898340.0,5164.0,19440.0,94.0,,,,,,,,
3,5,20,1,2,0.0,141.0,47.0,10056798.0,12348774.0,7202.0,29160.0,94.0,,,,,,,,,2.0,125.0,47.0,11461338.0,21053520.0,6872.0,29160.0,78.0,3.0,578.0,62.0,138897828.0,3389466546.0,8292.0,29160.0,516.0,4.0,422.0,94.0,84617946.0,177390486.0,8492.0,29160.0,328.0
3,5,20,1,3,0.0,421.0,62.0,51754626.0,470575332.0,10618.0,38880.0,359.0,1.0,359.0,47.0,66394404.0,2539958472.0,12800.0,38880.0,312.0,,,,,,,,,3.0,4015.0,156.0,996455520.0,60379790958.0,14290.0,38880.0,3859.0,4.0,109.0,47.0,8609490.0,1997944056.0,9516.0,38880.0,62.0
3,5,20,2,1,0.0,235.0,78.0,24732864.0,259199676.0,7526.0,29160.0,157.0,1.0,234.0,78.0,40105206.0,161969220.0,8552.0,29160.0,156.0,,,,,,,,,,,,,,,,,4.0,344.0,47.0,45547920.0,1525814496.0,7610.0,29160.0,297.0
3,5,20,2,2,,,,,,,,,,,,,,,,,2.0,250.0,125.0,30289950.0,292135086.0,10436.0,48600.0,125.0,3.0,360.0,63.0,57792204.0,5990279022.0,10994.0,48600.0,297.0,,,,,,,,
3,5,20,2,3,0.0,406.0,94.0,63016218.0,269097228.0,19882.0,68040.0,312.0,,,,,,,,,,,,,,,,,3.0,3874.0,109.0,1000724544.0,3410367486300.0,22228.0,68040.0,3765.0,4.0,1640.0,125.0,272048220.0,411795261565290.0,23096.0,68040.0,1515.0
3,5,20,3,1,0.0,750.0,125.0,148972608.0,12198738996.0,10202.0,38880.0,625.0,1.0,296.0,62.0,36979254.0,157633128.0,10118.0,38880.0,234.0,,,,,,,,,3.0,360.0,62.0,59312898.0,931965264.0,11228.0,38880.0,298.0,4.0,218.0,78.0,21265416.0,211830390.0,9386.0,38880.0,140.0
3,5,20,3,2,,,,,,,,,1.0,1687.0,203.0,404296110.0,13496601024.0,20270.0,68040.0,1484.0,2.0,610.0,140.0,122744646.0,5907955968.0,18162.0,68040.0,470.0,3.0,656.0,156.0,144439686.0,143577522.0,16564.0,68040.0,500.0,4.0,1500.0,109.0,229267584.0,1180670904.0,20480.0,68040.0,1391.0
3,5,20,3,3,,,,,,,,,,,,,,,,,2.0,1124.0,297.0,213060456.0,37306868058.0,26906.0,97200.0,827.0,3.0,437.0,234.0,66184452.0,5753040552.0,24698.0,97200.0,203.0,,,,,,,,
4,2,5,0,0,0.0,47.0,0.0,96.0,96.0,37.0,240.0,47.0,1.0,47.0,0.0,208.0,208.0,58.0,240.0,47.0,2.0,47.0,0.0,112.0,112.0,49.0,240.0,47.0,3.0,47.0,0.0,256.0,256.0,49.0,240.0,47.0,4.0,63.0,0.0,208.0,208.0,49.0,240.0,63.0
4,2,5,1,1,0.0,63.0,15.0,2176.0,2432.0,129.0,480.0,48.0,1.0,47.0,16.0,2048.0,3328.0,207.0,480.0,31.0,2.0,47.0,0.0,896.0,16704.0,118.0,480.0,47.0,3.0,63.0,15.0,768.0,1664.0,114.0,480.0,48.0,4.0,47.0,0.0,1088.0,6464.0,106.0,480.0,47.0
4,2,5,1,2,0.0,63.0,15.0,10432.0,21056.0,341.0,720.0,48.0,1.0,63.0,16.0,1280.0,2432.0,173.0,720.0,47.0,2.0,63.0,0.0,3584.0,13568.0,202.0,720.0,63.0,3.0,63.0,0.0,2112.0,3776.0,233.0,720.0,63.0,4.0,63.0,0.0,1984.0,2688.0,254.0,720.0,63.0
4,2,5,1,3,0.0,63.0,15.0,2048.0,8128.0,289.0,960.0,48.0,1.0,62.0,16.0,15040.0,18877120.0,793.0,960.0,46.0,2.0,62.0,15.0,9408.0,1314112.0,397.0,960.0,47.0,3.0,62.0,16.0,27904.0,102400.0,730.0,960.0,46.0,4.0,62.0,16.0,5632.0,33024.0,529.0,960.0,46.0
4,2,5,2,1,0.0,63.0,16.0,3968.0,17280.0,261.0,720.0,47.0,1.0,63.0,16.0,3520.0,6272.0,221.0,720.0,47.0,2.0,62.0,16.0,5248.0,16000.0,278.0,720.0,46.0,3.0,63.0,16.0,4032.0,24640.0,281.0,720.0,47.0,4.0,63.0,31.0,928.0,2144.0,145.0,720.0,32.0
4,2,5,2,2,0.0,63.0,16.0,11008.0,343808.0,641.0,1200.0,47.0,1.0,78.0,16.0,3392.0,9728.0,441.0,1200.0,62.0,2.0,62.0,31.0,16768.0,990848.0,782.0,1200.0,31.0,3.0,62.0,16.0,14208.0,5410560.0,1029.0,1200.0,46.0,4.0,63.0,32.0,3904.0,9344.0,357.0,1200.0,31.0
4,2,5,2,3,0.0,62.0,16.0,25152.0,536882176.0,1837.0,1680.0,46.0,1.0,63.0,32.0,63680.0,117971008.0,2662.0,1680.0,31.0,2.0,63.0,15.0,30400.0,357952.0,1558.0,1680.0,48.0,3.0,63.0,15.0,46976.0,10494016.0,2674.0,1680.0,48.0,4.0,63.0,32.0,74880.0,23865152.0,3442.0,1680.0,31.0
4,2,5,3,1,0.0,63.0,15.0,6784.0,272512.0,370.0,960.0,48.0,1.0,63.0,31.0,4352.0,69376.0,346.0,960.0,32.0,2.0,62.0,31.0,31680.0,1060672.0,722.0,960.0,31.0,3.0,78.0,15.0,13696.0,73280.0,389.0,960.0,63.0,4.0,63.0,16.0,7232.0,462976.0,385.0,960.0,47.0
4,2,5,3,2,0.0,78.0,47.0,241408.0,100930944.0,6486.0,1680.0,31.0,1.0,62.0,15.0,46720.0,109598848.0,2609.0,1680.0,47.0,2.0,78.0,31.0,28544.0,537011392.0,1149.0,1680.0,47.0,3.0,63.0,31.0,460032.0,7180661120.0,7501.0,1680.0,32.0,4.0,63.0,31.0,40192.0,469968896.0,1965.0,1680.0,32.0
4,2,5,3,3,0.0,79.0,47.0,206272.0,10745814976.0,9634.0,2400.0,32.0,1.0,94.0,312.0,1537600.0,2474169940992.0,147886.0,2400.0,-218.0,2.0,63.0,47.0,28752.0,485712.0,2479.0,2400.0,16.0,3.0,78.0,47.0,35216.0,438639136.0,2989.0,2400.0,31.0,4.0,94.0,109.0,1809344.0,23085598208.0,37438.0,2400.0,-15.0
4,2,20,0,0,0.0,62.0,15.0,22816.0,22816.0,325.0,960.0,47.0,1.0,62.0,16.0,44608.0,47680.0,349.0,960.0,46.0,2.0,63.0,16.0,11136.0,10368.0,322.0,960.0,47.0,3.0,63.0,16.0,24208.0,24208.0,325.0,960.0,47.0,4.0,63.0,16.0,51088.0,51088.0,325.0,960.0,47.0
4,2,20,1,1,,,,,,,,,1.0,110.0,32.0,8372800.0,170435648.0,897.0,1920.0,78.0,,,,,,,,,,,,,,,,,4.0,78.0,31.0,3432960.0,9522688.0,813.0,1920.0,47.0
4,2,20,1,2,0.0,78.0,47.0,1733248.0,115732864.0,1357.0,2880.0,31.0,1.0,78.0,47.0,160768.0,1065728.0,957.0,2880.0,31.0,2.0,156.0,47.0,24819520.0,1086215936.0,1505.0,2880.0,109.0,3.0,79.0,47.0,2453568.0,17529536.0,1250.0,2880.0,32.0,,,,,,,,
4,2,20,1,3,,,,,,,,,,,,,,,,,2.0,5593.0,47.0,1723992320.0,11710112512.0,1954.0,3840.0,5546.0,,,,,,,,,,,,,,,,
4,2,20,2,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2922.0,47.0,829942400.0,345330054272.0,1470.0,2880.0,2875.0,4.0,515.0,47.0,121039552.0,4709141760.0,1486.0,2880.0,468.0
4,2,20,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,203.0,109.0,36088064.0,1752873216.0,2665.0,4800.0,94.0
4,2,20,2,3,,,,,,,,,1.0,890.0,266.0,232499200.0,17747429632.0,4117.0,6720.0,624.0,,,,,,,,,,,,,,,,,,,,,,,,
4,2,20,3,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1235.0,62.0,363342848.0,30374176576.0,1961.0,3840.0,1173.0,,,,,,,,
4,2,20,3,2,,,,,,,,,1.0,437.0,203.0,111762560.0,17678152553856.0,3645.0,6720.0,234.0,,,,,,,,,,,,,,,,,,,,,,,,
4,2,50,0,0,0.0,219.0,156.0,32332944.0,32332944.0,913.0,2400.0,63.0,1.0,5796.0,6389.0,1229919232.0,1292830720.0,922.0,2400.0,-593.0,2.0,500.0,531.0,127674640.0,127674640.0,919.0,2400.0,-31.0,3.0,281.0,250.0,44786688.0,44792832.0,937.0,2400.0,31.0,4.0,141.0,93.0,13561168.0,14519632.0,913.0,2400.0,48.0
4,3,5,0,0,0.0,62.0,0.0,256.0,256.0,73.0,960.0,62.0,1.0,47.0,0.0,272.0,272.0,97.0,960.0,47.0,2.0,47.0,0.0,128.0,128.0,58.0,960.0,47.0,3.0,47.0,0.0,512.0,512.0,151.0,960.0,47.0,4.0,47.0,0.0,320.0,320.0,106.0,960.0,47.0
4,3,5,1,1,0.0,63.0,16.0,1280.0,1280.0,222.0,1920.0,47.0,1.0,62.0,0.0,2880.0,5184.0,154.0,1920.0,62.0,2.0,47.0,0.0,1856.0,4864.0,157.0,1920.0,47.0,3.0,47.0,15.0,1280.0,3968.0,106.0,1920.0,32.0,4.0,62.0,16.0,1024.0,5184.0,189.0,1920.0,46.0
4,3,5,1,2,0.0,62.0,16.0,7744.0,16640.0,278.0,2880.0,46.0,1.0,63.0,15.0,4032.0,16448.0,293.0,2880.0,48.0,2.0,47.0,15.0,7936.0,59392.0,350.0,2880.0,32.0,3.0,63.0,0.0,9472.0,20480.0,422.0,2880.0,63.0,4.0,63.0,16.0,3584.0,6144.0,422.0,2880.0,47.0
4,3,5,1,3,0.0,62.0,16.0,6720.0,248896.0,565.0,3840.0,46.0,1.0,62.0,15.0,7168.0,17408.0,709.0,3840.0,47.0,2.0,47.0,16.0,4992.0,67712.0,511.0,3840.0,31.0,3.0,62.0,16.0,20992.0,397568.0,745.0,3840.0,46.0,4.0,62.0,16.0,12288.0,75776.0,829.0,3840.0,46.0
4,3,5,2,1,0.0,62.0,16.0,3456.0,12864.0,309.0,2880.0,46.0,1.0,62.0,16.0,4480.0,12032.0,394.0,2880.0,46.0,2.0,62.0,15.0,1856.0,8064.0,273.0,2880.0,47.0,3.0,62.0,15.0,7296.0,56576.0,417.0,2880.0,47.0,4.0,62.0,16.0,3904.0,7680.0,429.0,2880.0,46.0
4,3,5,2,2,0.0,62.0,47.0,129024.0,12820480.0,17709.0,4800.0,15.0,1.0,63.0,16.0,89728.0,21240768.0,2670.0,4800.0,47.0,2.0,62.0,31.0,8192.0,91904.0,809.0,4800.0,31.0,3.0,63.0,31.0,7680.0,334976.0,713.0,4800.0,32.0,4.0,63.0,15.0,133760.0,156288.0,4297.0,4800.0,48.0
4,3,5,2,3,0.0,62.0,31.0,82944.0,1375232.0,2821.0,6720.0,31.0,1.0,63.0,32.0,76736.0,155136.0,1561.0,6720.0,31.0,2.0,62.0,15.0,13760.0,1872064.0,1078.0,6720.0,47.0,3.0,62.0,32.0,818176.0,549760017664.0,4381.0,6720.0,30.0,4.0,79.0,16.0,69568.0,3170240.0,5809.0,6720.0,63.0
4,3,5,3,1,0.0,78.0,16.0,10816.0,4205632.0,425.0,3840.0,62.0,1.0,78.0,15.0,5760.0,71424.0,369.0,3840.0,63.0,2.0,78.0,16.0,19968.0,265216.0,790.0,3840.0,62.0,3.0,63.0,15.0,16704.0,16960.0,1693.0,3840.0,48.0,4.0,62.0,15.0,3584.0,5632.0,425.0,3840.0,47.0
4,3,5,3,2,0.0,79.0,32.0,92288.0,7516199296.0,2157.0,6720.0,47.0,1.0,62.0,16.0,31616.0,9442368.0,2149.0,6720.0,46.0,2.0,62.0,31.0,135168.0,335564288.0,6742.0,6720.0,31.0,,,,,,,,,4.0,62.0,16.0,51712.0,117450752.0,2118.0,6720.0,46.0
4,3,5,3,3,0.0,472.0,46.0,116480.0,120338796672.0,4225.0,9600.0,426.0,1.0,78.0,31.0,293696.0,158376976064.0,7789.0,9600.0,47.0,2.0,79.0,171.0,983040.0,142807696384.0,71617.0,9600.0,-92.0,,,,,,,,,,,,,,,,
4,3,20,0,0,0.0,63.0,16.0,1417024.0,1417024.0,1033.0,3840.0,47.0,1.0,62.0,15.0,1261312.0,1261312.0,889.0,3840.0,47.0,2.0,62.0,16.0,676416.0,676416.0,907.0,3840.0,46.0,3.0,62.0,0.0,527104.0,527104.0,985.0,3840.0,62.0,4.0,62.0,16.0,654336.0,654336.0,937.0,3840.0,46.0
4,3,20,1,1,0.0,156.0,31.0,16120320.0,65363456.0,1863.0,7680.0,125.0,,,,,,,,,2.0,125.0,31.0,11341056.0,68320256.0,2058.0,7680.0,94.0,3.0,94.0,15.0,5254912.0,305597440.0,1889.0,7680.0,79.0,4.0,109.0,15.0,7324928.0,35009024.0,2089.0,7680.0,94.0
4,3,20,1,3,,,,,,,,,1.0,109.0,62.0,8982272.0,1353416448.0,4777.0,15360.0,47.0,,,,,,,,,,,,,,,,,4.0,95836.0,94.0,3844420096.0,965329891840.0,5698.0,15360.0,95742.0
4,3,20,2,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,296.0,47.0,53131776.0,1387458048.0,3681.0,11520.0,249.0,4.0,296.0,31.0,63316736.0,520598272.0,3605.0,11520.0,265.0
4,3,20,2,2,,,,,,,,,,,,,,,,,2.0,8029.0,63.0,2048587008.0,5773514788096.0,7601.0,19200.0,7966.0,3.0,968.0,93.0,296074752.0,2359446016.0,6441.0,19200.0,875.0,,,,,,,,
4,3,20,3,1,,,,,,,,,1.0,1187.0,47.0,353553152.0,217134501120.0,3809.0,15360.0,1140.0,,,,,,,,,3.0,5108.0,62.0,1304472832.0,277496300800.0,6849.0,15360.0,5046.0,4.0,640.0,78.0,146007040.0,86346778624.0,5370.0,15360.0,562.0
