,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_RComplexity,Avg_difference,STD_Hugin,STD_SIIC,STD_HuginCost,STD_SIICCost,STD_complexity,STD_RComplexity,STD_difference
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,,,,,,,,,,,,,,
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,3,3,0.0,78.0,16.0,3488.0,235912.0,319.0,200.0,62.0,1.0,63.0,47.0,5480.0,129528.0,413.0,200.0,16.0,2.0,63.0,31.0,1992.0,109032.0,335.0,200.0,32.0,3.0,78.0,32.0,2136.0,590424.0,381.0,200.0,46.0,4.0,63.0,47.0,4736.0,53704.0,677.0,200.0,16.0,69.0,34.6,223720.0,425.0,200.0,3566.4,34.4,8.215838362577491,12.973048986263793,215378.37573906995,145.70518178843196,0.0,1546.0235444520242,19.86957473123167
2,2,20,0,0,0.0,62.0,0.0,888.0,888.0,111.0,80.0,62.0,1.0,63.0,16.0,572.0,572.0,109.0,80.0,47.0,2.0,62.0,0.0,696.0,696.0,110.0,80.0,62.0,3.0,63.0,16.0,816.0,816.0,109.0,80.0,47.0,4.0,63.0,0.0,804.0,804.0,106.0,80.0,63.0,62.6,6.4,755.2,109.0,80.0,755.2,56.2,0.5477225575051661,8.763560920082659,123.26881195176662,1.8708286933869707,0.0,123.26881195176662,8.408329203831164
2,2,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,78.0,31.0,11584.0,98392.0,221.0,160.0,47.0,4.0,78.0,31.0,25648.0,170960.0,244.0,160.0,47.0,78.0,31.0,134676.0,232.5,160.0,18616.0,47.0,0.0,0.0,51313.32489714538,16.263455967290593,0.0,9944.749770607605,0.0
2,2,20,1,2,0.0,78.0,47.0,53656.0,102072.0,362.0,240.0,31.0,1.0,63.0,47.0,17392.0,39464.0,345.0,240.0,16.0,2.0,78.0,47.0,16928.0,163360.0,369.0,240.0,31.0,,,,,,,,,4.0,62.0,62.0,31232.0,108368.0,342.0,240.0,0.0,70.25,50.75,103316.0,354.5,240.0,29802.0,19.5,8.958236433584458,7.5,50693.29370505202,13.076696830622021,0.0,17231.813524215417,14.798648586948742
2,2,20,1,3,,,,,,,,,1.0,78.0,63.0,25208.0,120784.0,470.0,320.0,15.0,,,,,,,,,,,,,,,,,4.0,78.0,47.0,111656.0,9781304.0,490.0,320.0,31.0,78.0,55.0,4951044.0,480.0,320.0,68432.0,23.0,0.0,11.313708498984761,6831019.201788266,14.142135623730951,0.0,61127.96702001466,11.313708498984761
2,2,20,2,1,0.0,94.0,47.0,10288.0,27368.0,328.0,240.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,47.0,27368.0,328.0,240.0,10288.0,47.0,,,,,,,
2,2,20,2,2,,,,,,,,,1.0,110.0,94.0,277024.0,15824384.0,618.0,400.0,16.0,,,,,,,,,3.0,78.0,109.0,397568.0,289632.0,585.0,400.0,-31.0,,,,,,,,,94.0,101.5,8057008.0,601.5,400.0,337296.0,-7.5,22.627416997969522,10.606601717798213,10984728.483251281,23.33452377915607,0.0,85237.47983135119,33.23401871576773
2,2,20,2,3,,,,,,,,,1.0,125.0,156.0,314376.0,175452416.0,891.0,560.0,-31.0,,,,,,,,,3.0,94.0,156.0,974984.0,1624233928.0,860.0,560.0,-62.0,,,,,,,,,109.5,156.0,899843172.0,875.5,560.0,644680.0,-46.5,21.920310216782973,0.0,1024443231.5928994,21.920310216782973,0.0,467120.3965060828,21.920310216782973
2,2,20,3,1,,,,,,,,,,,,,,,,,2.0,109.0,78.0,28328.0,115504.0,489.0,320.0,31.0,3.0,110.0,47.0,185720.0,17259288.0,498.0,320.0,63.0,4.0,110.0,62.0,326424.0,444808.0,469.0,320.0,48.0,109.66666666666667,62.333333333333336,5939866.666666667,485.3333333333333,320.0,180157.33333333334,47.333333333333336,0.5773502691896257,15.50268793897798,9804289.10080916,14.843629385474879,0.0,149125.83193173923,16.010413278030438
2,2,20,3,2,0.0,125.0,156.0,4954048.0,6745682224.0,931.0,560.0,-31.0,,,,,,,,,,,,,,,,,3.0,125.0,187.0,1199952.0,8573888.0,865.0,560.0,-62.0,,,,,,,,,125.0,171.5,3377128056.0,898.0,560.0,3077000.0,-46.5,0.0,21.920310216782973,4763854989.974017,46.66904755831214,0.0,2654546.7388252933,21.920310216782973
