Fold   	 NumOfNodes     NumOfAvgPar 	 NumOfStates 	 NumOfClass 	   NumOfObj 	     Hugin-JTCost 	       SIIC-JTCost   	  Hugin   	     SIIC
0		5		2		2		0		0		24		24		66		4
1		5		2		2		0		0		28		28		13		4
2		5		2		2		0		0		32		32		9		3
3		5		2		2		0		0		24		24		11		2
4		5		2		2		0		0		32		32		9		2
0		5		2		2		1		1		160		176		15		11
1		5		2		2		1		1		104		96		14		9
2		5		2		2		1		1		104		136		15		8
3		5		2		2		1		1		96		104		13		11
4		5		2		2		1		1		112		120		14		9
0		5		2		2		1		2		384		1680		14		11
1		5		2		2		1		2		152		616		13		12
2		5		2		2		1		2		176		200		14		10
3		5		2		2		1		2		200		384		14		10
4		5		2		2		1		2		160		192		14		11
0		5		2		2		1		3		296		432		21		14
1		5		2		2		1		3		224		1832		20		20
2		5		2		2		1		3		408		496		19		11
3		5		2		2		1		3		400		2816		14		15
4		5		2		2		1		3		416		2432		19		11
0		5		2		2		2		1		272		1264		23		18
1		5		2		2		2		1		184		192		17		14
2		5		2		2		2		1		304		720		19		12
3		5		2		2		2		1		320		336		21		10
4		5		2		2		2		1		216		336		18		12
0		5		2		2		2		2		360		640		18		12
1		5		2		2		2		2		368		944		18		16
2		5		2		2		2		2		560		3456		20		14
3		5		2		2		2		2		608		1056		18		13
4		5		2		2		2		2		368		528		20		13
0		5		2		2		2		3		1552		19104		18		14
1		5		2		2		2		3		1008		12896		18		16
2		5		2		2		2		3		904		10984		19		15
4		5		2		2		2		3		744		2232		17		22
0		5		2		2		3		1		368		1408		23		13
1		5		2		2		3		1		392		1256		23		15
2		5		2		2		3		1		312		512		22		14
3		5		2		2		3		1		376		8960		22		17
4		5		2		2		3		1		368		984		24		17
0		5		2		2		3		2		1856		131584		49		24
1		5		2		2		3		2		1632		57744		47		23
2		5		2		2		3		2		688		4488		32		21
3		5		2		2		3		2		1760		31232		27		17
4		5		2		2		3		2		1472		238000		22		12
0		5		2		2		3		3		3488		235912		23		16
1		5		2		2		3		3		5480		129528		22		18
2		5		2		2		3		3		1992		109032		22		18
3		5		2		2		3		3		2136		590424		23		19
4		5		2		2		3		3		4736		53704		22		20
0		5		3		2		0		0		32		32		8		2
1		5		3		2		0		0		32		32		9		2
2		5		3		2		0		0		20		20		7		2
3		5		3		2		0		0		32		32		7		3
4		5		3		2		0		0		24		24		10		2
0		5		3		2		1		1		112		288		14		7
1		5		3		2		1		1		112		104		14		5
2		5		3		2		1		1		152		200		13		7
3		5		3		2		1		1		176		272		15		8
4		5		3		2		1		1		120		144		13		8
0		5		3		2		1		2		140		164		14		8
1		5		3		2		1		2		208		272		13		9
2		5		3		2		1		2		400		400		14		10
3		5		3		2		1		2		144		184		15		8
4		5		3		2		1		2		232		320		13		9
0		5		3		2		1		3		528		976		14		8
1		5		3		2		1		3		552		1440		14		12
2		5		3		2		1		3		296		552		18		10
3		5		3		2		1		3		264		360		14		9
4		5		3		2		1		3		592		2112		13		7
0		5		3		2		2		1		200		672		19		13
1		5		3		2		2		1		224		344		19		13
2		5		3		2		2		1		216		408		18		10
3		5		3		2		2		1		288		416		20		11
4		5		3		2		2		1		208		464		18		12
0		5		3		2		2		2		656		5584		19		15
1		5		3		2		2		2		512		1024		18		13
2		5		3		2		2		2		720		1632		18		12
3		5		3		2		2		2		384		496		19		11
4		5		3		2		2		2		320		24832		17		12
1		5		3		2		2		3		1600		6272		21		14
2		5		3		2		2		3		5168		203280		19		11
3		5		3		2		2		3		2640		167520		18		12
4		5		3		2		2		3		1312		8040		18		14
0		5		3		2		3		1		312		520		22		14
1		5		3		2		3		1		424		1168		23		11
2		5		3		2		3		1		488		1272		24		14
3		5		3		2		3		1		384		768		22		14
4		5		3		2		3		1		440		1360		23		17
0		5		3		2		3		2		2192		110928		25		12
1		5		3		2		3		2		992		3280		24		15
3		5		3		2		3		2		1248		14592		24		16
4		5		3		2		3		2		880		9856		25		17
0		5		3		2		3		3		2168		305632		24		15
1		5		3		2		3		3		3888		1278464		23		16
2		5		3		2		3		3		3208		156032		23		18
3		5		3		2		3		3		13552		459808		23		16
4		5		3		2		3		3		2784		28552		24		24
0		5		5		2		0		0		32		32		10		2
1		5		5		2		0		0		24		24		6		2
2		5		5		2		0		0		16		16		8		2
3		5		5		2		0		0		20		20		8		2
4		5		5		2		0		0		28		28		7		2
0		5		5		2		1		1		192		176		13		8
1		5		5		2		1		1		144		160		12		9
2		5		5		2		1		1		128		168		14		8
3		5		5		2		1		1		176		192		13		9
4		5		5		2		1		1		112		304		13		5
0		5		5		2		1		2		184		720		14		9
1		5		5		2		1		2		336		448		13		8
2		5		5		2		1		2		208		240		13		8
3		5		5		2		1		2		144		152		14		5
4		5		5		2		1		2		168		488		17		7
0		5		5		2		1		3		624		4416		14		9
1		5		5		2		1		3		416		640		14		9
2		5		5		2		1		3		400		416		13		6
3		5		5		2		1		3		688		1056		14		10
4		5		5		2		1		3		528		592		13		6
0		5		5		2		2		1		200		216		17		10
1		5		5		2		2		1		216		440		19		11
2		5		5		2		2		1		224		280		17		11
3		5		5		2		2		1		168		168		18		7
4		5		5		2		2		1		240		352		18		10
0		5		5		2		2		2		704		2112		17		9
1		5		5		2		2		2		496		2336		17		11
2		5		5		2		2		2		624		2528		22		12
3		5		5		2		2		2		640		1728		18		10
4		5		5		2		2		2		384		432		19		8
0		5		5		2		2		3		1984		29568		19		17
1		5		5		2		2		3		2624		664336		18		14
2		5		5		2		2		3		2256		119488		18		10
3		5		5		2		2		3		640		7440		17		11
4		5		5		2		2		3		2304		27584		17		9
0		5		5		2		3		1		696		2184		22		10
1		5		5		2		3		1		416		768		21		15
